subjid,location,gender,age,set,condition,gameid,ha,p_ha,la,lotshapea,lotnuma,hb,p_hb,lb,lotshapeb,lotnumb,amb,corr,order,trial,button,b,payoff,forgone,rt,apay,bpay,feedback,block,id,location_rehovot,gender_female,set_1,set_2,set_3,set_4,set_5,set_6,experiment_1,button_r,shape_a_symm,shape_b_symm,shape_a_rskew,shape_b_rskew,shape_a_lskew,shape_b_lskew
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,1,L,0,-37,20,10467,-37,20,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,2,R,1,20,-37,5992,-37,20,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,3,R,1,20,21,1358,21,20,0,1,3,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,4,R,1,20,21,1076,21,20,0,1,4,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,5,L,0,-37,20,4739,-37,20,0,1,5,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,6,L,0,-37,20,1545,-37,20,1,2,6,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,7,R,1,20,21,1084,21,20,1,2,7,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,8,R,1,20,21,2531,21,20,1,2,8,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,9,L,0,35,20,1319,35,20,1,2,9,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,10,L,0,23,20,1660,23,20,1,2,10,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
